iter	RMSE
0	59.42325064
1	56.73779813
2	54.19332728
3	51.7475275
4	49.40450474
5	47.18719545
6	45.10986547
7	43.15090593
8	41.30974977
9	39.4965776
10	37.84875486
11	36.20584433
12	34.64146049
13	33.14663721
14	31.76180632
15	30.39421721
16	29.09430689
17	27.91113415
18	26.76486122
19	25.71112442
20	24.65836704
21	23.65639757
22	22.68413651
23	21.76114523
24	20.87126009
25	20.03660382
26	19.23210379
27	18.52991916
28	17.83836816
29	17.17148102
30	16.4953097
31	15.86874203
32	15.27765115
33	14.70154505
34	14.17671376
35	13.67638737
36	13.19254318
37	12.72916029
38	12.27914896
39	11.86144309
40	11.45403397
41	11.07967319
42	10.72589849
43	10.37674513
44	10.04083193
45	9.721583399
46	9.410267665
47	9.12523552
48	8.855467073
49	8.598380398
50	8.355509357
51	8.126818111
52	7.908590005
53	7.699302608
54	7.500414503
55	7.314347923
56	7.136343823
57	6.960502632
58	6.793965505
59	6.632246357
60	6.46499613
61	6.327263684
62	6.180272016
63	6.043006467
64	5.921280499
65	5.789563869
66	5.67836644
67	5.569110532
68	5.467590338
69	5.371010708
70	5.281721258
71	5.195515639
72	5.114466618
73	5.024996022
74	4.953216941
75	4.871457675
76	4.7924047
77	4.718289867
78	4.651820732
79	4.595428569
80	4.539687469
81	4.478424928
82	4.408960566
83	4.346740266
84	4.292217161
85	4.234527026
86	4.184997446
87	4.141182467
88	4.087503917
89	4.049294323
90	4.004682205
91	3.965209005
92	3.917523717
93	3.869590875
94	3.829255727
95	3.79532743
96	3.765437529
97	3.726038118
98	3.689566394
99	3.655029404
100	3.628695851
101	3.601146907
102	3.576474756
103	3.547547125
104	3.517847277
105	3.486121791
106	3.454799129
107	3.42654544
108	3.40780757
109	3.385024197
110	3.357315452
111	3.339564731
112	3.306142764
113	3.283546047
114	3.26735393
115	3.252267918
116	3.230590357
117	3.215775496
118	3.19503692
119	3.182254244
120	3.164788745
121	3.151308085
122	3.133664979
123	3.111065078
124	3.095275481
125	3.078243472
126	3.05666034
127	3.040642036
128	3.025672704
129	3.010218164
130	2.992389018
131	2.972259311
132	2.951366083
133	2.92895622
134	2.911239019
135	2.896579086
136	2.877701078
137	2.868810487
138	2.850085263
139	2.829733015
140	2.809595575
141	2.790655279
142	2.771773731
143	2.753290838
144	2.735630297
145	2.719046817
146	2.705722535
147	2.68685146
148	2.67203197
149	2.657866559
150	2.646799443
151	2.632807606
152	2.621283839
153	2.605603434
154	2.588904737
155	2.573507915
156	2.559957555
157	2.54956631
158	2.536291272
159	2.529207576
160	2.520077069
161	2.511055131
162	2.498752079
163	2.489910003
164	2.482070903
165	2.472984026
166	2.464175015
167	2.447428073
168	2.437546081
169	2.422238449
170	2.410630787
171	2.398312826
172	2.390798721
173	2.379654814
174	2.364991573
175	2.348587991
176	2.339096098
177	2.3286551
178	2.317887741
179	2.307190233
180	2.295879322
181	2.282221814
182	2.271928021
183	2.267757661
184	2.254573038
185	2.24783903
186	2.239762804
187	2.23270467
188	2.223488359
189	2.211902093
190	2.205760523
191	2.198315484
192	2.189238125
193	2.178434373
194	2.172834795
195	2.162264341
196	2.152560112
197	2.142377784
198	2.132598274
199	2.125558876
200	2.117714671
201	2.108297461
202	2.102105144
203	2.092567135
204	2.086157964
205	2.079916288
206	2.073023017
207	2.066943696
208	2.060146724
209	2.051412176
210	2.041232486
211	2.033362694
212	2.02274892
213	2.014450991
214	2.007149022
215	1.997189107
216	1.986259343
217	1.980514258
218	1.971928996
219	1.966602742
220	1.956760175
221	1.950485795
222	1.943992014
223	1.938021355
224	1.93072039
225	1.926877032
226	1.918697894
227	1.911254291
228	1.904120117
229	1.897471177
230	1.892040079
231	1.883894043
232	1.878964321
233	1.872085837
234	1.863946517
235	1.854767717
236	1.848822746
237	1.841068943
238	1.83456985
239	1.828491016
240	1.823206337
241	1.813163546
242	1.806980485
243	1.800795083
244	1.791485064
245	1.787147801
246	1.777524499
247	1.768289219
248	1.764834398
249	1.760764751
250	1.75505665
251	1.749412348
252	1.744205405
253	1.738754381
254	1.732999333
255	1.727696553
256	1.719617861
257	1.712712135
258	1.707467492
259	1.703726317
260	1.698028473
261	1.692837565
262	1.687036958
263	1.680190601
264	1.675619571
265	1.670696467
266	1.66487449
267	1.659236365
268	1.653371916
269	1.649158125
270	1.642161353
271	1.637429752
272	1.634407427
273	1.630098617
274	1.627305281
275	1.622993101
276	1.616916388
277	1.609267878
278	1.604869397
279	1.59957154
280	1.595076445
281	1.591574253
282	1.585648304
283	1.581306842
284	1.57659976
285	1.57177037
286	1.565722809
287	1.559162268
288	1.55510788
289	1.551956782
290	1.549280577
291	1.545312842
292	1.539079215
293	1.532863551
294	1.528279929
