iter	Passed	Remaining
0	3	1734
1	6	1635
2	9	1601
3	12	1610
4	16	1627
5	19	1616
6	22	1590
7	25	1578
8	29	1584
9	32	1582
10	35	1577
11	38	1569
12	41	1556
13	44	1561
14	48	1563
15	51	1561
16	54	1544
17	57	1527
18	59	1516
19	62	1511
20	65	1501
21	68	1491
22	71	1481
23	74	1470
24	77	1470
25	80	1464
26	83	1454
27	85	1442
28	88	1431
29	91	1426
30	94	1427
31	97	1421
32	99	1411
33	102	1404
34	105	1397
35	107	1391
36	110	1388
37	113	1383
38	116	1377
39	119	1369
40	122	1366
41	125	1364
42	127	1359
43	130	1355
44	133	1350
45	136	1345
46	139	1340
47	142	1339
48	145	1336
49	148	1333
50	150	1328
51	153	1324
52	157	1324
53	160	1323
54	163	1322
55	166	1317
56	168	1312
57	172	1311
58	174	1307
59	177	1304
60	180	1299
61	183	1293
62	185	1288
63	188	1285
64	191	1282
65	194	1278
66	197	1273
67	199	1269
68	202	1266
69	205	1263
70	208	1259
71	211	1255
72	213	1251
73	216	1246
74	219	1244
75	222	1243
76	225	1240
77	228	1235
78	230	1230
79	233	1226
80	236	1223
81	239	1220
82	242	1216
83	244	1213
84	247	1208
85	250	1205
86	253	1203
87	256	1199
88	258	1195
89	261	1191
90	264	1188
91	267	1185
92	270	1182
93	273	1179
94	275	1175
95	278	1172
96	281	1169
97	284	1166
98	287	1163
99	289	1158
100	292	1153
101	294	1149
102	297	1145
103	300	1142
104	302	1138
105	305	1134
106	307	1131
107	310	1127
108	313	1124
109	316	1121
110	319	1118
111	321	1114
112	325	1113
113	328	1110
114	331	1108
115	334	1105
116	336	1103
117	339	1100
118	342	1096
119	345	1093
120	348	1090
121	351	1087
122	353	1084
123	357	1083
124	360	1080
125	363	1079
126	366	1077
127	369	1074
128	372	1072
129	375	1070
130	379	1068
131	382	1066
132	385	1063
133	388	1060
134	391	1057
135	394	1055
136	397	1052
137	400	1049
138	402	1046
139	405	1043
140	408	1040
141	411	1038
142	414	1035
143	417	1032
144	420	1029
145	423	1026
146	426	1024
147	429	1022
148	432	1019
149	435	1017
150	438	1014
151	442	1012
152	445	1010
153	448	1008
154	451	1005
155	454	1002
156	457	1000
157	460	997
158	463	994
159	466	991
160	469	988
161	472	985
162	475	982
163	478	979
164	481	977
165	484	974
166	487	971
167	490	969
168	493	966
169	496	964
170	499	961
171	502	958
172	505	956
173	508	953
174	512	950
175	515	948
176	518	945
177	521	943
178	524	940
179	527	938
180	530	935
181	534	933
182	537	930
183	540	928
184	543	925
185	546	922
186	549	919
187	551	916
188	555	913
189	558	910
190	561	908
191	565	906
192	568	904
193	571	901
194	574	898
195	577	895
196	580	892
197	583	890
198	586	887
199	589	884
200	592	881
201	595	879
202	599	876
203	602	874
204	606	872
205	609	869
206	612	866
207	615	864
208	618	861
209	621	858
210	624	855
211	627	852
